[0.88s]  NAD is involved in mechanisms that impact health and function and its levels depend on a balance
[497.68s]  this, uh, is whether, uh, uh, SIRT6 is involved in mechanisms that repair single strand DNA breaks
[504.24s]  and double strand DNA breaks. Uh, SIRT6 is also involved in mechanisms that reduce inflammation,
[509.84s]  including, uh, reducing pro-inflammatory cytokines such as IL-1 beta, IL-6 and TNF alpha,
[516.16s]  while increasing expression of the anti-inflammatory cytokine IL-10. And finally, uh, SIRT6 is involved
[522.88s]  in mechanisms that promote autophagy, which also declines during aging. So can SIRT6 then be increased
[529.68s]  through diet, exercise, or supplements? You know, having transgenic animals that are engineered to have
[533.44s]  that as nice, but can we activate SIRT6 to gain some of these benefits on aging and potentially
[538.40s]  lifespan? So first SIRT6 is increased by calorie restriction. And this is a study done in male mice.
[544.08s]  If anybody's come across calorie restriction studies in female mice, female mice, please leave a comment.
[548.64s]  I wasn't able to find that. So we're looking at levels of SIRT6 protein levels of SIRT6 on the y-axis
[555.52s]  divided by a loading control, a gap DH. So when compared with mice that were able, uh, allowed to eat as
[562.00s]  much as they want, AL ad lib, we can see that the mice that were fed 30% less calories. And in this
[567.44s]  case, these were old mice, 20 month, a 24 month old mice, which is equivalent to about a 73 year old
[572.88s]  person. We can see that there was about a 50% increase in protein levels of SIRT6 in the mice that were
[578.80s]  30% CR. Now this implicates a role for diet or at least calories on, on SIRT6 levels. Are there more
[586.32s]  specific dietary components that can increase, uh, dietary components that can increase SIRT6?
[591.92s]  And one of them is ergothionine. Uh, now ergothionine has been dubbed a longevity vitamin. And if you,
[597.76s]  and I have a video on it, so if you missed that, I'm going to link to it in the right corner. So in
[601.76s]  this study, they looked at SIRT6 protein expression, and this was an in vitro study in endothelial cells.
[607.28s]  So starting with cells that, uh, did not have high glucose, this is a, the control cells. So CTR,
[612.56s]  adding a, a, a relatively high amount of glucose to these cells to endothelial cells resulted in
[618.40s]  lower levels of SIRT6 protein. Now adding ergothionine to the control cells didn't impact
[624.40s]  SIRT6 levels, but in the cells that had high glucose and ergothionine, we can see that SIRT6
[630.08s]  levels were significantly increased when compared to high glucose alone. So why is this important? What
[635.04s]  does it have to do with aging? Well, glucose levels, systemic levels, circulating levels of glucose
[639.68s]  increase during aging, which raises the question, can ergothionine increase SIRT6 in older adults as
[646.08s]  glucose levels increase during aging, older adults more often than not have higher levels of plasma,
[650.72s]  higher plasma levels of glucose. So there aren't any randomized control trials, RCTs that have tested
[655.12s]  this yet, but I'd stay tuned. Uh, hopefully those studies will get done. Now there are many other
[659.36s]  SIRT6 activators and I've listed them here. And, uh, there are so many of them that I'll probably make
[664.56s]  another video, uh, in terms of which foods are rich, uh, you know, are rich for each of these metabolites,
[669.76s]  but a notice that two of them right off the top, quercetin and luteolin are known CD38 inhibitors.
[675.84s]  So they're involved in mechanisms that increase NAD. So not only may do they increase it involve,
[681.44s]  not only are they involved in mechanism that mechanisms that increase NAD that they're known
[685.76s]  SIRT6 activators. They're also involved in mechanisms that activate SIRT6. So you're getting a
[690.40s]  double whammy of higher NAD, which is potentially good for health and lifespan and also higher SIRT6.
[697.36s]  So what about exercise? So in this data, we can see that, uh, an acute bout of exercise in this case,
[702.72s]  this was, uh, 30 minutes of running at 80% of VO2 max. And this is a relatively small study done in 24,
[708.40s]  24 year old men. Uh, so acute, uh, acute exercise resulted in about a two fold higher expression
[715.60s]  of SIRT6 levels in white blood cells. So, uh, blood samples were obtained before exercise,
[721.44s]  immediately after exercise. So post-exercise and then one hour after exercise. And what we can see
[727.20s]  when compared with both pre-exercise and post-exercise is that the SIRT levels were approximately
[732.88s]  doubled as a result of 30 minutes of running at 80% of the VO2 max on the treadmill. Now it isn't just
[738.48s]  aerobic exercise and acute exercise. So one bout of exercise, uh, SIRT6 has also been shown to be
[744.48s]  increased after 12 weeks of resistance exercise training. So strength training in 66 year old men
[750.16s]  and also relatively small study, 30 subjects, but nonetheless, it shows an important role for
[754.64s]  exercise, whether it's cardiovascular training or strength training to potentially increase SIRT6
[759.28s]  levels in people. All right. That's all I've got for now. If you made it to the end,
[763.28s]  I hope you enjoyed the video and have a great day.
